rep,rto_s,promocion,primary_before,primary_after,injection_utc
1,36.19,no,pglab-cnpg-exp-2,pglab-cnpg-exp-2,2026-07-07T22:22:52.964Z
2,36.21,no,pglab-cnpg-exp-2,pglab-cnpg-exp-2,2026-07-07T22:27:22.655Z
3,36.92,no,pglab-cnpg-exp-2,pglab-cnpg-exp-2,2026-07-07T22:31:52.378Z
4,35.51,no,pglab-cnpg-exp-2,pglab-cnpg-exp-2,2026-07-07T22:36:22.032Z
5,36.05,no,pglab-cnpg-exp-2,pglab-cnpg-exp-2,2026-07-07T22:40:51.709Z
6,37.66,no,pglab-cnpg-exp-2,pglab-cnpg-exp-2,2026-07-07T22:45:21.474Z
7,37.10,no,pglab-cnpg-exp-2,pglab-cnpg-exp-2,2026-07-07T22:49:51.278Z
8,36.95,no,pglab-cnpg-exp-2,pglab-cnpg-exp-2,2026-07-07T22:54:20.961Z
9,36.57,no,pglab-cnpg-exp-2,pglab-cnpg-exp-2,2026-07-07T22:58:50.693Z
10,38.32,no,pglab-cnpg-exp-2,pglab-cnpg-exp-2,2026-07-07T23:03:20.285Z
